,word,count
769,cloth,35
1610,media,35
265,spend,36
1211,lions,36
1416,tears,36
185,tower,36
385,hired,36
562,seize,36
700,outer,37
753,repay,37
203,herds,37
77,yield,37
656,steps,37
465,sheol,37
277,hills,38
197,negeb,38
2066,herod,38
434,asher,38
508,clear,38
224,sworn,38
331,spent,38
139,olive,38
871,booty,38
1407,asaph,38
122,flood,39
267,urged,39
369,hated,39
1096,noble,39
119,cubit,39
332,least,39
605,fools,39
687,poles,39
684,lamps,39
29,plant,39
620,minds,39
1285,uriah,39
1008,spare,40
292,hears,40
1588,cyrus,40
1264,cedar,40
632,sinai,40
33,sixth,40
149,drunk,40
894,balak,40
912,spoil,41
1158,jesse,41
779,seems,41
979,siege,41
55,naked,41
172,sodom,41
313,mourn,42
216,goods,42
379,aloud,42
26,image,42
2074,james,42
720,parts,43
492,one’s,43
730,acted,43
380,wages,43
384,wheat,43
393,later,43
148,drank,44
1585,pride,45
516,close,45
546,floor,45
688,sides,46
275,marry,46
341,ephah,46
87,tents,46
432,rings,46
474,owner,46
51,slept,46
355,quiet,47
1180,greet,47
135,tenth,47
776,upper,47
262,ashes,48
202,dealt,48
316,piece,48
288,man’s,48
1162,often,48
353,sixty,48
658,takes,48
57,touch,48
69,drove,49
1100,joash,50
31,beast,50
883,armed,50
903,spear,50
500,honey,51
19,stars,51
114,cover,51
190,abram,51
412,watch,52
602,heavy,52
89,kinds,52
509,loves,52
685,ephod,52
263,lords,53
246,sarah,53
290,ought,53
25,fifth,54
418,bulls,54
571,tried,54
298,swear,55
326,laban,55
1279,zadok,55
323,learn,55
614,mixed,56
702,bases,56
469,widow,57
392,goats,57
131,moved,58
406,force,58
50,sleep,59
116,width,59
1730,boast,59
550,bones,59
458,throw,59
1205,abner,60
308,horns,60
105,chose,61
250,flour,61
757,crown,62
248,bowed,62
576,drive,62
647,trust,63
484,means,63
383,happy,64
280,grant,64
182,plain,65
198,alien,65
822,waste,65
97,eight,67
230,share,67
394,white,67
411,labor,68
144,youth,68
415,staff,69
419,ahead,69
514,ruler,69
610,inner,70
150,faces,70
1009,doors,72
568,blind,72
299,apart,73
278,shown,73
287,dream,73
1355,queen,75
58,knows,76
1297,exile,77
7,midst,77
646,wings,78
266,early,78
98,birth,79
207,raise,79
654,false,80
143,curse,80
284,smoke,80
642,write,81
274,small,81
376,lying,82
63,eaten,83
21,birds,83
733,broke,84
300,lambs,84
919,cross,84
780,walls,86
320,gifts,86
16,signs,86
459,threw,87
239,wrong,87
227,yours,88
566,gives,89
567,makes,90
861,shame,91
305,bound,92
830,clans,92
569,teach,92
338,loved,93
622,cloud,93
503,table,93
302,swore,94
73,flock,95
939,think,95
48,names,95
1653,haman,97
273,break,98
599,cause,101
11,forth,101
1021,royal,102
681,wrote,102
486,linen,102
264,aside,103
74,angry,104
249,ready,105
374,south,107
2051,grace,109
947,gates,110
101,forty,112
215,enemy,113
737,idols,114
13,trees,115
289,guilt,116
42,river,118
1618,judea,118
462,carry,119
279,saved,119
110,god’s,119
615,crowd,120
61,sound,121
377,large,122
124,alive,122
128,clean,124
231,slave,125
71,guard,126
330,truly,128
553,fight,130
117,fifty,131
366,cried,131
218,north,131
65,named,134
109,favor,135
398,front,136
240,judge,137
247,isaac,138
9,above,139
707,court,139
375,leave,140
195,bless,141
2072,simon,145
84,wives,146
949,deeds,147
159,lands,148
184,build,148
2073,peter,149
309,mount,150
876,works,152
12,fruit,159
2095,judas,161
490,truth,164
45,stone,167
47,alone,168
501,mercy,169
475,chief,173
146,lives,173
367,times,174
653,honor,174
112,along,176
27,thing,176
673,wrath,176
457,reign,177
257,doing,178
502,heads,178
200,enter,179
245,money,182
15,third,184
72,sheep,196
270,known,197
126,serve,203
4,light,210
36,field,215
142,never,215
303,offer,218
82,built,219
76,mouth,223
242,angel,225
372,anger,226
78,today,227
726,tribe,230
235,peace,235
1161,hosts,237
329,asked,239
271,stand,239
368,grain,240
254,stood,245
301,order,246
92,child,247
96,lived,247
328,comes,254
838,faith,255
132,whose,257
219,women,258
52,flesh,261
111,going,265
108,human,270
138,still,273
204,could,278
221,bread,280
94,began,280
53,taken,286
129,month,287
285,world,293
241,power,294
652,towns,294
5,night,298
307,since,298
141,burnt,305
354,jacob,305
286,drink,307
40,being,309
41,sight,309
229,young,312
238,voice,323
570,aaron,326
623,glory,328
67,might,331
213,kings,332
243,spoke,349
8,under,360
70,sword,369
49,found,380
75,blood,387
206,right,394
54,woman,397
261,speak,399
39,whole,413
140,altar,416
38,water,436
104,hands,445
91,again,470
6,first,479
99,seven,483
296,death,500
103,three,521
28,given,530
107,heart,532
44,where,535
17,years,541
180,words,542
1,while,548
56,other,565
134,until,586
160,egypt,594
20,bring,647
60,heard,666
14,every,704
199,about,721
0,earth,731
37,would,763
381,judah,817
10,place,821
83,after,842
557,moses,850
62,among,854
2060,jesus,886
18,great,918
1159,david,978
23,which,1150
35,these,1366
194,house,1661
86,those,1757
3,there,2113
34,their,4408
30,shall,5387
